神器名,アイテム説明,使用方法,使用回数,MP消費量,MP必要量,消費アイテム,CT,グローバルCT,対応信仰神
出撃命令,全 軍 突 撃,右クリック,1,0,None,None,None,None,アーバン ニャプトフ ルーモア
fruit 叡智の果実 tiurf,大空の楽園に実る禁断の果実口にすれば膨大な魔力を得られるが、代償として生命力を失ってしまう。,アイテムを使用,None,0,None,None,None,None,フローラ ウィ=キ ルーモア
祭祀の杖,天候を変化させる杖雨乞いの儀式にも使われる。,右クリック,None,20,None,None,None,None,フローラ ウィ=キ ルーモア
Xx_エレメンタルソード_xX,攻撃の度に属性の変わる剣,装備しEntityを近接攻撃,250,15,None,None,None,None,フローラ アーバン ルーモア
拳法の巻物,敵に軽減貫通5ダメージを与える,装備しEntityを近接攻撃,None,0,None,None,None,None,フローラ アーバン ニャプトフ
自爆命令,全 機 爆 散,右クリック,None,80,None,None,None,60,アーバン ニャプトフ ウィ=キ
flying- 飛竜落としの術 -dragon,嘗て天を翔け世界を波乱に貶めた龍を討ち落としたとされる神器,右クリック,50,35,None,None,60,None,アーバン ウィ=キ ルーモア
鉄装備セット,エンチャント不可の鉄装備を装着する,右クリック,1,40,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
金装備セット,エンチャント不可の金装備を装着する,右クリック,1,40,None,None,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
ディスペンサー・キャノン,TNTをぶっ飛ばすキャノンそのキレイな顔をフッ飛ばしてやる！！,右クリック,None,50,None,None,10,None,フローラ アーバン ウィ=キ ルーモア
ルナティック・レイ,敵1体に魔法攻撃,右クリック,30,20,None,None,50,None,アーバン ルーモア
コール:イエネコ,「可愛い猫ちゃんに癒されたい？」,右クリック,100,40,None,None,600,None,ニャプトフ ルーモア
MP抽出機,MPを瓶に詰めて抽出できる1部は天使の取り分として蒸発することがある,右クリック,None,30,None,item.minecraft.glass_bottle  x1,None,None,アーバン フローラ ニャプトフ ルーモア ウィ=キ
クリスタルロッド,透明度の高いクリスタルが使用された杖。周囲のプレイヤーのバフ・デバフをかき消す。,右クリック,None,40,None,None,None,None,フローラ ウィ=キ ルーモア
アモールの杖,周囲のプレイヤーの体力を少しだけ回復する,右クリック,None,20,None,None,None,None,フローラ ウィ=キ ルーモア
臆病者の魂,臆病な者の怯えた思いが込められた魂ダメージを受けると恐ろしくなり家へと逃げ帰る,装備し被ダメージ,5,0,None,None,None,None,ウィ=キ ルーモア
ウェブ・シューター,周囲7mのMobに蜘蛛の巣を発射し、身動きを封じる,右クリック,30,15,None,None,None,None,ウィ=キ ルーモア
おさかな,にゃー,アイテムを使用,None,10000,100,None,None,None,ニャプトフ
お願いマッスル [I類],ザッツアグレート大胸筋！腕力が10秒間上昇する体を限界まで追い込むので注意！,右クリック,None,25,None,None,None,None,アーバン ルーモア
お願いマッスル [II類],肩にちっちゃい重機のせてんのかい！肩力が10秒間上昇する体を限界まで追い込むので注意！,右クリック,None,25,None,None,None,None,アーバン ルーモア
お願いマッスル [III類],レッグカール！ハックリフト！ ...にゃーん脚力が10秒間上昇する体を限界まで追い込むので注意！,右クリック,None,25,None,None,None,None,アーバン ニャプトフ ルーモア
お願いマッスル [IV類],頑張る貴方は美しい！耐力が30秒間上昇する体を限界まで追い込むので注意！,右クリック,None,25,None,None,None,None,アーバン ウィ=キ ルーモア
雷翔-Wakinyan-,Wakinyan -ワキンヤン-インディアンの間に古来より伝わる神鳥である雷の精霊の力で自在に雷を放つと云われる,,30,50,None,None,None,None,フローラ アーバン ウィ=キ
舞焔-Phoenix-,Phoenix -フェニックス-不死鳥と呼ばれ、火から自ら蘇る輪廻の外にある神鳥とされる,,30,50,None,None,None,None,アーバン ニャプトフ ルーモア
ちぇん氏の夢枕,「あぁ～ためになる～」,右クリック,1,0,None,None,None,None,ニャプトフ
即席プリーストセット レベル1,\\,右クリック,1,0,None,None,None,None,フローラ ニャプトフ ウィ=キ
